crop,temperature,humidity,rainfall,leaf_wetness_hours,risk_score,risk_level,disease_name
coconut,33.94,84.83,137.76,15.4,0.657,High,Leaf Blight
pigeonpeas,25.79,87.71,93.04,18.21,0.67,High,Fusarium Wilt
jute,18.42,69.76,28.51,11.61,0.555,Medium,Anthracnose
coconut,32.76,72.27,24.43,4.7,0.336,Low,Healthy
blackgram,37.72,66.78,8.73,9.82,0.491,Medium,Leaf Crinkle
grapes,29.04,83.85,21.54,17.06,0.704,High,Powdery Mildew
rice,21.48,78.87,34.75,3.27,0.425,Medium,Rice Blast
rice,23.52,72.31,119.98,3.66,0.494,Medium,Rice Blast
watermelon,30.45,66.42,54.55,12.81,0.556,Medium,Fusarium Wilt
muskmelon,29.24,56.63,145.4,9.75,0.49,Medium,Downy Mildew
kidneybeans,33.43,72.47,89.41,11.57,0.484,Medium,Angular Leaf Spot
mothbeans,33.68,92.56,121.85,11.07,0.706,High,Yellow Mosaic Virus
maize,24.32,64.19,278.44,2.23,0.582,Medium,Common Rust
kidneybeans,23.34,70.19,92.72,10.48,0.585,Medium,Bean Rust
apple,38.09,80.67,110.96,6.27,0.525,Medium,Apple Scab
mungbean,22.77,76.07,91.15,2.62,0.465,Medium,Yellow Mosaic Virus
watermelon,24.6,84.1,153.48,15.32,0.662,High,Fusarium Wilt
jute,22.74,70.67,272.9,9.97,0.671,High,Anthracnose
rice,19.71,71.16,67.81,6.9,0.553,Medium,Bacterial Leaf Blight
lentil,32.24,62.5,55.57,8.74,0.468,Medium,Rust
mungbean,30.35,87.68,53.88,8.57,0.498,Medium,Yellow Mosaic Virus
lentil,39.96,63.72,60.02,14.25,0.549,Medium,Wilt
watermelon,33.62,52.52,139.96,4.56,0.482,Medium,Fusarium Wilt
chickpea,21.37,63.39,51.19,9.13,0.509,Medium,Ascochyta Blight
watermelon,20.76,68.84,105.21,4.3,0.441,Medium,Anthracnose
chickpea,25.59,67.42,86.84,7.09,0.485,Medium,Ascochyta Blight
coffee,20.07,75.34,170.52,15.56,0.719,High,Berry Disease
coconut,27.66,57.4,145.85,11.83,0.502,Medium,Leaf Blight
kidneybeans,23.29,75.89,43.19,3.1,0.464,Medium,Bean Rust
coconut,29.09,87.28,133.97,6.94,0.621,Medium,Leaf Blight
lentil,27.39,77.48,31.1,12.25,0.675,High,Rust
orange,34.88,74.87,127.94,12.46,0.639,Medium,Citrus Canker
banana,29.0,79.69,323.85,10.16,0.686,High,Sigatoka Leaf Spot
chickpea,29.36,58.97,191.62,11.45,0.542,Medium,Ascochyta Blight
blackgram,19.57,57.12,21.26,5.08,0.47,Medium,Leaf Crinkle
pigeonpeas,29.26,100.0,231.59,19.2,0.881,High,Sterility Mosaic
maize,27.21,88.71,101.56,10.18,0.613,Medium,Maize Leaf Blight
pomegranate,16.17,89.04,44.71,5.3,0.59,Medium,Bacterial Blight
orange,33.98,78.47,17.18,7.87,0.532,Medium,Greening (HLB)
coconut,18.77,89.27,323.27,12.33,0.744,High,Bud Rot
grapes,26.16,92.79,43.25,10.22,0.588,Medium,Powdery Mildew
blackgram,36.92,63.8,41.81,10.54,0.469,Medium,Leaf Crinkle
papaya,29.46,66.51,101.64,8.14,0.538,Medium,Papaya Ring Spot Virus
coffee,29.35,72.47,195.29,5.24,0.572,Medium,Coffee Leaf Rust
coffee,33.12,85.15,27.0,12.16,0.606,Medium,Coffee Leaf Rust
mango,15.64,81.64,67.45,13.86,0.517,Medium,Powdery Mildew
mango,30.53,70.75,74.6,8.36,0.464,Medium,Powdery Mildew
maize,33.18,75.16,212.33,9.83,0.626,Medium,Common Rust
lentil,27.25,79.83,63.16,5.67,0.55,Medium,Wilt
banana,27.64,79.49,123.95,9.48,0.59,Medium,Panama Wilt
lentil,16.26,86.43,53.14,1.14,0.362,Medium,Rust
muskmelon,28.73,77.93,357.81,12.8,0.766,High,Powdery Mildew
blackgram,33.43,74.88,71.37,4.82,0.527,Medium,Yellow Mosaic Virus
coconut,18.74,79.67,94.98,11.04,0.591,Medium,Bud Rot
cotton,26.72,87.83,151.28,6.67,0.612,Medium,Leaf Curl Virus
grapes,25.74,53.17,38.5,14.22,0.561,Medium,Downy Mildew
pigeonpeas,20.37,94.39,40.12,6.04,0.522,Medium,Sterility Mosaic
grapes,26.79,83.55,41.4,13.94,0.599,Medium,Powdery Mildew
coffee,27.68,63.11,92.29,12.51,0.551,Medium,Coffee Leaf Rust
