farmer_id,state,crop,season,land_size_acres,experience_years,irrigation_type,yield_quintal_per_acre,market_price_per_quintal,estimated_revenue_inr
F01127,Andhra Pradesh,orange,Kharif,1.04,17,Rain-fed,19.8,3256.38,67055.38
F00080,West Bengal,lentil,Rabi,4.91,22,Drip,15.82,1103.01,85677.63
F03261,Uttar Pradesh,lentil,Zaid,3.13,16,Sprinkler,26.71,1812.51,151530.0
F01737,Bihar,lentil,Kharif,5.46,10,Drip,4.97,1993.61,54099.0
F04527,Rajasthan,blackgram,Zaid,2.94,19,Drip,23.09,2518.32,170955.15
F03594,Andhra Pradesh,lentil,Zaid,2.05,1,Canal,15.12,1837.17,56944.92
F04047,Haryana,watermelon,Zaid,1.66,1,Drip,22.84,1396.63,52952.39
F02893,Tamil Nadu,coffee,Rabi,1.33,3,Sprinkler,22.63,1924.03,57909.26
F00722,Madhya Pradesh,blackgram,Rabi,1.41,27,Sprinkler,18.56,2154.62,56385.54
F04308,Madhya Pradesh,banana,Kharif,3.55,22,Sprinkler,15.52,2516.6,138654.59
F01593,Andhra Pradesh,mango,Kharif,2.09,0,Canal,26.77,2463.33,137821.59
F01345,Haryana,chickpea,Zaid,1.01,23,Borewell,21.67,2189.02,47910.42
F02616,Punjab,coconut,Zaid,2.15,7,Drip,26.58,2445.45,139750.13
F03548,Karnataka,kidneybeans,Zaid,2.87,18,Borewell,7.98,2016.13,46174.62
F02188,Andhra Pradesh,muskmelon,Zaid,0.25,10,Rain-fed,10.24,2968.35,7598.98
F04220,Rajasthan,coffee,Rabi,1.98,22,Drip,20.6,2279.06,92958.3
F03662,Karnataka,banana,Rabi,4.32,20,Rain-fed,13.4,1517.15,87824.78
F01596,Punjab,orange,Zaid,7.12,17,Borewell,16.01,1689.12,192544.82
F04748,Haryana,grapes,Rabi,1.56,24,Rain-fed,15.44,2719.8,65510.19
F00024,Karnataka,coffee,Kharif,5.17,27,Rain-fed,25.15,2565.54,333585.62
F01484,Gujarat,grapes,Kharif,4.19,20,Canal,20.39,1339.69,114455.21
F04989,Maharashtra,pomegranate,Zaid,0.25,20,Borewell,10.12,1665.9,4214.73
F00585,Andhra Pradesh,lentil,Zaid,1.82,13,Rain-fed,15.17,1858.3,51306.55
F02466,Karnataka,rice,Rabi,3.14,21,Drip,21.52,714.11,48254.41
F02823,Punjab,kidneybeans,Rabi,0.93,9,Rain-fed,17.4,1652.28,26737.19
F02352,Gujarat,rice,Zaid,0.76,5,Sprinkler,12.39,2700.8,25431.81
F03459,Rajasthan,mothbeans,Kharif,1.42,18,Rain-fed,16.03,2571.7,58538.58
F04869,Bihar,blackgram,Kharif,2.47,14,Borewell,19.14,2236.29,105722.4
F04968,Tamil Nadu,watermelon,Rabi,4.45,0,Borewell,35.1,3065.57,478826.71
F02811,West Bengal,lentil,Rabi,1.03,20,Drip,21.64,2588.56,57696.93
F02293,Bihar,muskmelon,Kharif,5.88,24,Rain-fed,23.68,2420.38,337009.84
F02030,Gujarat,watermelon,Zaid,1.43,7,Rain-fed,7.22,2249.54,23225.6
F02211,Rajasthan,rice,Rabi,5.22,22,Sprinkler,16.33,2330.53,198660.44
F00625,Bihar,mango,Zaid,0.74,8,Sprinkler,24.31,2126.97,38262.91
F02886,Uttar Pradesh,coconut,Rabi,4.27,0,Canal,9.64,1732.7,71322.78
F00169,Maharashtra,pigeonpeas,Kharif,1.04,15,Rain-fed,15.9,2819.57,46624.41
F04304,Uttar Pradesh,watermelon,Rabi,2.44,7,Rain-fed,22.43,2207.6,120820.18
F03929,Punjab,watermelon,Zaid,3.94,20,Sprinkler,21.49,1548.68,131127.66
F00423,Maharashtra,orange,Kharif,8.73,13,Rain-fed,20.71,1657.6,299691.26
F02270,Punjab,lentil,Kharif,5.82,28,Sprinkler,27.25,3900.29,618566.49
F03680,Gujarat,coffee,Rabi,5.99,4,Drip,12.59,2340.15,176480.31
F01232,Punjab,grapes,Kharif,3.07,18,Sprinkler,27.0,2046.54,169637.7
F00655,Punjab,kidneybeans,Zaid,2.16,16,Sprinkler,24.71,2530.71,135073.1
F00280,Tamil Nadu,blackgram,Zaid,1.35,15,Canal,10.44,1672.73,23575.46
F05195,Karnataka,jute,Kharif,12.2,17,Canal,15.89,2479.56,480682.54
F03498,Rajasthan,rice,Rabi,8.13,18,Sprinkler,14.97,3116.44,379289.76
F00801,Haryana,banana,Kharif,4.96,4,Borewell,16.96,2649.34,222866.72
F03291,Madhya Pradesh,orange,Kharif,2.19,0,Rain-fed,18.1,2467.4,97805.27
F00953,Karnataka,mungbean,Zaid,1.79,16,Drip,10.36,2237.12,41486.05
F04551,Punjab,pigeonpeas,Kharif,4.68,6,Canal,14.52,2694.83,183123.4
F03455,Karnataka,apple,Zaid,2.39,20,Sprinkler,16.99,3341.25,135675.13
F00834,Bihar,kidneybeans,Zaid,0.77,10,Borewell,23.73,1598.96,29216.36
F03089,Madhya Pradesh,jute,Kharif,2.77,20,Rain-fed,22.27,3708.06,228742.43
F05069,Haryana,mango,Rabi,0.86,25,Rain-fed,19.52,2368.06,39753.1
F01362,Maharashtra,pigeonpeas,Rabi,5.88,11,Rain-fed,21.0,1160.52,143301.01
F01261,Gujarat,muskmelon,Zaid,2.95,14,Borewell,10.66,1662.12,52268.69
F01666,Punjab,chickpea,Kharif,2.92,9,Borewell,20.67,2358.37,142342.72
F05175,Uttar Pradesh,orange,Rabi,0.63,29,Rain-fed,25.17,1503.21,23836.55
F00643,Tamil Nadu,banana,Zaid,1.73,3,Drip,20.72,1602.08,57427.52
F04252,Gujarat,pigeonpeas,Zaid,0.88,1,Drip,12.8,2101.89,23675.69
F04969,Bihar,kidneybeans,Rabi,1.44,23,Canal,18.03,1952.82,50701.46
F00374,Maharashtra,pigeonpeas,Zaid,1.87,12,Borewell,34.66,1840.36,119281.46
F03050,Rajasthan,jute,Kharif,3.1,27,Rain-fed,19.31,2747.89,164491.44
F03162,Rajasthan,muskmelon,Zaid,3.51,27,Rain-fed,31.89,1335.9,149532.5
