crop,N,P,K,ph,recommended_fertilizer,quantity_kg_per_acre,estimated_cost_inr,organic_alternative
watermelon,27.8,51.0,16.1,6.57,Urea,106.7,693.55,Vermicompost
orange,77.8,9.3,100.9,6.5,DAP,62.0,1674.0,Compost + Biofertilizer
coconut,69.6,79.2,57.0,6.43,Urea,34.0,221.0,Poultry Manure
mothbeans,45.9,49.2,46.5,6.07,Urea,79.2,514.8,Compost + Biofertilizer
pomegranate,87.8,82.9,21.2,7.65,MOP,53.1,902.7,Farmyard Manure (FYM)
orange,30.3,17.3,13.8,6.17,Urea,146.0,949.0,Green Manure
coffee,35.6,75.7,64.7,5.74,Urea,55.7,362.05,Neem Cake
apple,99.5,53.0,48.0,4.85,MOP,39.2,666.4,Farmyard Manure (FYM)
coconut,43.5,66.5,42.6,6.58,Urea,70.7,459.55,Poultry Manure
rice,49.1,50.2,49.1,5.83,Urea,75.0,487.5,Neem Cake
blackgram,71.2,3.2,41.8,6.44,DAP,89.3,2411.1,Green Manure
mango,16.9,25.2,44.0,6.25,Urea,125.7,817.05,Vermicompost
muskmelon,20.9,72.1,60.8,6.79,Urea,69.5,451.75,Poultry Manure
jute,111.1,53.2,52.3,7.05,MOP,35.0,595.0,Vermicompost
rice,71.2,50.1,86.4,6.76,DAP,27.3,737.1,Farmyard Manure (FYM)
lentil,101.1,26.0,69.3,6.14,DAP,48.3,1304.1,Vermicompost
lentil,86.6,34.9,42.9,6.34,DAP,53.7,1449.9,Neem Cake
rice,50.8,54.1,82.1,6.18,Urea,48.6,315.9,Compost + Biofertilizer
papaya,29.5,26.8,45.4,7.87,Urea,104.2,677.3,Compost + Biofertilizer
mungbean,63.4,55.2,46.7,7.17,Urea,54.3,352.95,Farmyard Manure (FYM)
rice,140.0,51.6,0.5,5.73,MOP,82.7,1405.9,Farmyard Manure (FYM)
coconut,54.1,42.2,47.3,5.28,Urea,76.7,498.55,Neem Cake
muskmelon,19.4,22.3,68.4,6.32,Urea,112.7,732.55,Green Manure
chickpea,105.2,13.8,45.5,5.83,DAP,64.4,1738.8,Compost + Biofertilizer
apple,80.5,32.4,18.2,6.95,MOP,77.1,1310.7,Poultry Manure
apple,51.5,59.9,41.9,5.44,Urea,70.7,459.55,Neem Cake
jute,51.5,7.1,61.3,7.24,DAP,92.9,2508.3,Neem Cake
kidneybeans,46.3,39.2,50.2,7.59,Urea,80.9,525.85,Vermicompost
chickpea,103.8,39.3,56.9,8.1,DAP,43.4,1171.8,Neem Cake
pigeonpeas,13.3,42.5,28.8,7.47,Urea,117.0,760.5,Farmyard Manure (FYM)
mango,90.1,90.3,58.1,6.58,NPK 19-19-19,17.2,412.8,Poultry Manure
mungbean,41.4,50.9,30.1,5.47,Urea,84.2,547.3,Neem Cake
chickpea,70.1,45.9,45.9,7.09,DAP,55.2,1490.4,Green Manure
pomegranate,59.4,36.7,52.9,5.73,DAP,52.4,1414.8,Green Manure
apple,65.2,59.7,40.6,6.36,MOP,50.4,856.8,Compost + Biofertilizer
pomegranate,38.0,44.6,3.8,6.93,MOP,129.4,2199.8,Green Manure
banana,47.4,12.8,34.4,6.52,DAP,111.9,3021.3,Vermicompost
lentil,21.6,30.4,86.0,6.1,Urea,99.9,649.35,Neem Cake
maize,76.2,38.2,69.7,6.58,DAP,46.1,1244.7,Farmyard Manure (FYM)
chickpea,76.2,27.0,99.6,8.45,DAP,52.1,1406.7,Compost + Biofertilizer
mothbeans,114.7,39.7,28.0,5.18,MOP,67.5,1147.5,Farmyard Manure (FYM)
rice,41.6,50.2,37.1,5.69,Urea,86.3,560.95,Neem Cake
mungbean,62.5,78.7,31.7,5.82,MOP,65.5,1113.5,Green Manure
muskmelon,78.6,28.9,31.8,6.58,DAP,63.9,1725.3,Vermicompost
kidneybeans,25.9,24.9,101.8,5.34,Urea,101.6,660.4,Farmyard Manure (FYM)
mungbean,77.7,23.1,50.7,6.18,DAP,65.6,1771.2,Vermicompost
muskmelon,59.5,44.2,25.3,6.61,MOP,84.3,1433.1,Neem Cake
apple,92.7,36.0,78.0,7.56,DAP,48.4,1306.8,Farmyard Manure (FYM)
papaya,50.5,57.7,51.3,5.96,Urea,57.9,376.35,Green Manure
papaya,41.0,45.5,45.0,5.28,Urea,82.9,538.85,Green Manure
kidneybeans,54.7,14.9,80.1,7.72,DAP,81.0,2187.0,Green Manure
lentil,36.3,46.2,11.6,6.78,MOP,118.1,2007.7,Poultry Manure
orange,66.4,33.7,0.0,6.98,MOP,110.2,1873.4,Poultry Manure
mothbeans,85.2,55.5,53.2,6.86,MOP,23.2,394.4,Farmyard Manure (FYM)
blackgram,21.7,0.0,56.6,6.66,DAP,137.3,3707.1,Green Manure
orange,89.3,21.7,69.4,7.28,DAP,48.4,1306.8,Compost + Biofertilizer
jute,54.2,93.0,42.2,7.21,Urea,52.7,342.55,Compost + Biofertilizer
apple,44.8,57.5,38.0,5.74,Urea,70.3,456.95,Compost + Biofertilizer
cotton,76.4,28.6,42.8,6.25,DAP,71.8,1938.6,Compost + Biofertilizer
jute,49.2,65.2,41.8,5.91,Urea,58.8,382.2,Neem Cake
pomegranate,19.0,35.1,92.8,5.82,Urea,97.2,631.8,Green Manure
mungbean,86.9,52.5,64.6,5.99,DAP,29.0,783.0,Compost + Biofertilizer
papaya,53.6,35.6,27.3,6.99,MOP,88.5,1504.5,Poultry Manure
papaya,39.0,53.1,106.8,6.4,Urea,75.4,490.1,Green Manure
lentil,69.9,50.7,85.4,7.15,Urea,32.3,209.95,Green Manure
orange,86.7,32.7,41.0,6.64,DAP,57.1,1541.7,Compost + Biofertilizer
grapes,26.2,53.3,45.4,7.1,Urea,88.3,573.95,Farmyard Manure (FYM)
grapes,47.2,38.3,54.9,6.53,Urea,69.1,449.15,Compost + Biofertilizer
jute,31.6,37.1,7.1,6.86,MOP,134.6,2288.2,Vermicompost
muskmelon,77.4,55.8,85.6,6.28,NPK 10-26-26,24.3,558.9,Vermicompost
mothbeans,42.5,30.2,32.8,5.69,Urea,119.4,776.1,Vermicompost
muskmelon,99.7,43.3,95.0,6.25,DAP,33.9,915.3,Compost + Biofertilizer
blackgram,83.4,53.9,70.2,6.81,DAP,24.2,653.4,Poultry Manure
mothbeans,31.5,57.5,49.8,5.26,Urea,78.2,508.3,Neem Cake
blackgram,32.6,46.6,30.5,5.87,Urea,102.7,667.55,Green Manure
coconut,84.8,57.6,37.0,6.65,MOP,45.2,768.4,Compost + Biofertilizer
orange,73.7,12.7,57.7,6.33,DAP,67.7,1827.9,Poultry Manure
watermelon,67.6,17.7,36.0,6.26,DAP,92.6,2500.2,Vermicompost
mothbeans,78.7,48.7,43.5,6.12,MOP,40.1,681.7,Compost + Biofertilizer
mango,35.6,17.4,43.4,7.63,Urea,110.6,718.9,Green Manure
muskmelon,51.5,49.6,40.0,7.47,Urea,71.8,466.7,Green Manure
maize,29.7,59.0,55.0,6.32,Urea,69.5,451.75,Compost + Biofertilizer
pomegranate,41.9,83.1,92.8,6.23,Urea,55.1,358.15,Farmyard Manure (FYM)
maize,27.1,37.1,69.1,7.19,Urea,92.0,598.0,Green Manure
mothbeans,47.0,34.2,68.4,6.49,Urea,70.4,457.6,Poultry Manure
lentil,78.8,49.3,59.8,6.46,DAP,33.2,896.4,Vermicompost
lentil,100.2,2.9,33.4,6.81,DAP,95.1,2567.7,Vermicompost
mango,18.2,68.0,59.4,6.67,Urea,72.9,473.85,Green Manure
maize,44.9,41.6,65.8,6.03,Urea,73.1,475.15,Green Manure
muskmelon,63.0,3.2,75.4,5.78,DAP,77.1,2081.7,Neem Cake
grapes,76.0,31.4,62.5,6.47,DAP,51.4,1387.8,Green Manure
pigeonpeas,74.0,42.4,63.8,6.48,DAP,38.7,1044.9,Vermicompost
rice,50.3,67.3,33.7,6.28,Urea,73.1,475.15,Vermicompost
kidneybeans,112.8,29.9,81.7,5.27,DAP,42.8,1155.6,Neem Cake
papaya,77.1,39.6,9.3,7.15,MOP,86.9,1477.3,Poultry Manure
orange,58.2,60.2,35.5,6.01,MOP,60.6,1030.2,Poultry Manure
banana,0.0,61.4,36.0,5.68,Urea,104.9,681.85,Green Manure
kidneybeans,13.9,53.5,49.6,7.4,Urea,98.2,638.3,Farmyard Manure (FYM)
pomegranate,17.4,80.1,25.1,7.57,Urea,104.4,678.6,Farmyard Manure (FYM)
rice,61.0,61.9,0.0,6.43,MOP,90.0,1530.0,Poultry Manure
chickpea,123.9,45.7,31.3,5.3,MOP,64.2,1091.4,Poultry Manure
rice,110.7,58.2,59.4,6.25,NPK 19-19-19,18.4,441.6,Poultry Manure
banana,44.4,25.1,31.3,5.75,Urea,108.7,706.55,Compost + Biofertilizer
jute,50.4,59.8,71.6,5.73,Urea,42.8,278.2,Neem Cake
watermelon,87.0,26.7,62.7,6.99,DAP,51.1,1379.7,Poultry Manure
blackgram,90.1,4.2,43.2,7.38,DAP,85.3,2303.1,Compost + Biofertilizer
watermelon,110.0,46.1,83.8,4.82,DAP,34.9,942.3,Compost + Biofertilizer
muskmelon,76.6,60.2,63.2,6.69,NPK 19-19-19,18.1,434.4,Farmyard Manure (FYM)
rice,61.1,26.5,60.3,6.39,DAP,67.9,1833.3,Compost + Biofertilizer
blackgram,87.4,66.9,10.0,5.58,MOP,64.6,1098.2,Poultry Manure
jute,50.3,7.8,67.4,6.93,DAP,90.6,2446.2,Compost + Biofertilizer
coconut,71.9,50.7,29.1,7.6,MOP,69.8,1186.6,Poultry Manure
coconut,37.3,41.1,46.8,7.64,Urea,83.6,543.4,Compost + Biofertilizer
orange,70.3,43.5,43.1,6.43,MOP,55.8,948.6,Poultry Manure
mango,45.2,43.5,51.5,6.33,Urea,68.8,447.2,Farmyard Manure (FYM)
